Tile_Name,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,Gray_mean,Gray_std,Gray_min,Gray_max,Edge_mean,Edge_std,Texture_contrast,Texture_energy,Texture_homogeneity,Texture_correlation,Area,Perimeter,Compactness,Hist_R,Hist_G,Hist_B,Saturation_mean,Brightness_mean,target
image_552,172.2916,58.0391,0.0,238.0,178.9101,56.979,4.0,240.0,182.5956,56.0226,16.0,244.0,177.3513,57.0948,4.172,238.929,8.5395,15.6126,3259.8111,0.5338,0.0358,0.9954,6138.0,78.3454,1.0,91.0,85.0,83.0,14.0,182.0,1
image_551,188.4605,17.927,0.0,214.0,208.9108,19.1054,0.0,232.0,221.5002,19.6812,0.0,244.0,204.2313,18.7683,0.0,227.986,1.9684,8.9453,352.2481,0.6469,0.2594,0.9909,13357.0,115.5725,1.0,10.0,7.0,7.0,38.0,221.0,1
image_550,156.2254,25.3457,118.0,232.0,128.8594,29.4829,83.0,217.0,121.2812,30.5458,70.0,212.0,136.1779,28.1518,92.88,219.121,17.9503,18.6249,792.5246,0.2974,0.0785,0.965,448.0,21.166,1.0,35.0,40.0,43.0,57.0,156.0,1
image_549,149.854,39.3091,31.0,246.0,146.8134,39.0807,27.0,242.0,128.9065,41.9859,19.0,230.0,145.6811,38.7595,29.153,241.828,15.9491,15.0182,1502.2996,0.3495,0.0646,0.9216,4684.0,68.4398,1.0,58.0,64.0,70.0,36.0,149.0,1
image_548,96.9781,10.9978,55.0,126.0,214.5625,10.7853,175.0,239.0,246.6859,8.8971,209.0,255.0,183.0668,10.4756,142.996,205.542,12.7071,8.9676,109.7375,0.5171,0.1892,0.9549,1920.0,43.8178,1.0,15.0,14.0,13.0,155.0,246.0,1
image_547,75.8703,26.0384,15.0,128.0,177.0704,53.3868,58.0,245.0,225.4356,32.7933,122.0,255.0,152.3252,42.4638,54.831,210.559,10.6876,8.877,1803.1702,0.3846,0.04,0.9439,7461.0,86.3771,1.0,51.0,111.0,67.0,170.0,225.0,1
image_544,146.143,24.5125,75.0,229.0,156.5586,25.6503,78.0,224.0,163.5835,31.3088,83.0,255.0,154.2452,23.4607,77.673,225.039,18.5134,14.1648,550.4032,0.3743,0.1161,0.6181,1126.0,33.5559,1.0,30.0,32.0,30.0,27.0,163.0,1
image_592,200.6934,5.3095,166.0,211.0,210.8048,4.7641,176.0,220.0,217.6594,4.7278,185.0,227.0,208.5629,4.8474,174.036,218.107,1.5167,1.8684,23.4973,0.6693,0.3233,0.9519,2208.0,46.9894,1.0,7.0,5.0,6.0,20.0,217.0,1
image_591,117.5,40.9677,0.0,171.0,129.6044,38.7023,12.0,182.0,134.6136,42.8092,14.0,190.0,126.5562,39.8035,8.64,179.036,8.5795,17.6866,1584.3191,0.2707,0.0664,0.998,1408.0,37.5233,1.0,43.0,38.0,42.0,32.0,134.0,1
image_590,182.8312,34.3766,0.0,225.0,193.5679,31.1569,0.0,234.0,191.1662,42.9507,0.0,235.0,190.0838,33.0819,1.596,226.167,5.4527,10.9661,1094.4151,0.5725,0.0676,0.9913,17875.0,133.6974,1.0,34.0,26.0,23.0,15.0,193.0,1
image_589,198.4216,18.8182,0.0,241.0,209.07,18.9717,0.0,246.0,215.1075,18.605,0.0,253.0,206.5744,18.7282,1.026,242.271,5.2486,17.1272,350.7451,0.6616,0.2376,0.9768,5488.0,74.081,1.0,10.0,8.0,10.0,20.0,215.0,1
image_588,167.5129,33.7033,56.0,239.0,187.3188,32.7966,75.0,255.0,200.0485,32.1309,79.0,255.0,182.848,32.9478,69.775,249.917,9.8705,9.8104,1085.5588,0.5309,0.1088,0.9978,618.0,24.8596,1.0,33.0,32.0,29.75,42.0,200.0,1
image_587,186.0935,21.8865,136.0,232.0,196.8526,16.3456,149.0,237.0,202.1234,13.3112,152.0,240.0,194.2365,17.5591,146.025,235.847,7.2042,7.2965,308.3206,0.5849,0.0882,0.9844,2707.0,52.0288,1.0,42.0,29.0,22.0,20.0,202.0,1
image_580,167.8281,44.5499,41.0,255.0,155.7044,50.7738,34.0,237.0,152.4666,50.5285,42.0,236.0,158.9603,48.6117,37.005,240.427,27.9946,26.4584,2363.0961,0.4249,0.0529,0.9756,1123.0,33.5112,1.0,76.0,92.0,93.5,23.0,167.0,1
image_579,155.335,24.1056,41.0,219.0,173.9723,27.6031,39.0,220.0,190.335,28.9252,45.0,229.0,170.2651,26.4897,41.211,219.929,11.3737,16.3026,701.7026,0.4566,0.112,0.9713,1191.0,34.5109,1.0,24.0,24.0,22.0,47.0,190.0,1
image_578,157.4977,33.0009,46.0,245.0,162.6188,31.6495,45.0,243.0,168.5587,27.8359,53.0,253.0,161.7647,31.512,46.211,244.14,15.0153,17.16,993.0065,0.4177,0.1252,0.9899,1065.0,32.6343,1.0,27.0,28.0,27.0,17.0,168.0,1
image_577,181.3318,51.107,24.0,252.0,183.2664,47.9097,33.0,248.0,179.7604,48.6822,30.0,247.0,182.2883,48.8411,29.967,248.153,19.5156,20.796,2385.4548,0.5477,0.0533,0.9955,672.0,25.923,1.0,77.0,71.0,62.25,6.0,183.0,1
image_574,203.8425,9.2299,98.0,213.0,211.5813,10.3607,95.0,218.0,217.2725,10.5224,102.0,225.0,209.9162,9.9965,96.695,216.961,1.7204,6.7087,99.9304,0.6792,0.3448,0.9839,800.0,28.2843,1.0,4.0,4.0,5.0,16.0,217.0,1
image_573,205.1449,4.3075,185.0,212.0,214.0678,4.1368,191.0,222.0,219.835,4.5087,194.0,229.0,212.0573,4.0648,189.847,218.879,1.7159,2.3093,16.5225,0.6918,0.3795,0.8674,1194.0,34.5543,1.0,5.0,4.0,3.0,16.0,219.0,1
image_570,122.9863,85.0043,0.0,214.0,136.4522,93.8948,0.0,230.0,145.8348,98.7727,0.0,242.0,133.4955,91.7584,0.0,224.139,14.0602,40.2737,8419.6081,0.4035,0.0139,0.9987,2415.0,49.1426,1.0,182.0,200.0,211.0,40.0,145.0,1
image_569,133.9288,30.1339,14.0,176.0,146.2746,26.2972,38.0,187.0,150.9283,32.0857,22.0,195.0,143.1137,28.0208,29.0,184.395,7.5495,14.882,785.1656,0.3271,0.1034,0.9949,1981.0,44.5084,1.0,31.0,26.0,26.0,29.0,150.0,1
image_568,53.5333,29.5388,0.0,131.0,77.5604,27.4006,4.0,151.0,63.9532,34.0266,1.0,152.0,68.8251,28.5247,2.918,143.846,15.9459,17.9446,813.66,0.0854,0.0935,0.988,555.0,23.5584,1.0,41.0,37.0,41.5,79.0,77.0,1
image_567,52.6862,19.2716,7.0,181.0,111.7422,18.607,52.0,201.0,185.6546,19.1308,27.0,244.0,102.5105,17.7386,44.17,196.205,10.0277,9.1296,314.6583,0.1664,0.1315,0.9173,9192.0,95.8749,1.0,22.0,23.0,17.0,183.0,185.0,1
image_630,130.9862,31.5746,17.0,255.0,124.208,31.2749,15.0,254.0,111.3243,32.8441,0.0,233.0,124.7659,31.3063,14.23,251.563,16.9189,18.2584,980.0828,0.2545,0.0992,0.9744,26266.0,162.0679,1.0,37.0,40.0,43.0,37.0,130.0,1
image_629,124.5403,29.631,16.0,255.0,116.6256,28.6945,3.0,252.0,104.9952,29.176,0.0,248.0,117.6662,28.704,6.545,251.843,17.0152,18.0835,823.9213,0.2256,0.108,0.96,12404.0,111.3732,1.0,32.0,31.0,32.0,41.0,124.0,1
image_628,144.4549,36.0048,9.0,250.0,142.5102,37.9028,11.0,249.0,135.4939,38.2568,10.0,244.0,142.2918,37.2796,10.288,248.729,16.8577,21.9369,1389.7662,0.3327,0.1029,0.9925,2695.0,51.9134,1.0,32.0,32.0,34.0,16.0,144.0,1
image_621,138.8959,32.7378,6.0,255.0,133.2681,32.1479,3.0,251.0,121.3752,34.0847,0.0,242.0,133.595,32.3432,3.555,251.17,16.9457,18.5288,1046.0822,0.2906,0.1207,0.9844,15337.0,123.8426,1.0,27.0,27.0,30.0,31.0,138.0,1
image_620,139.259,30.9365,34.0,255.0,127.9708,27.8692,26.0,250.0,114.8571,27.9535,8.0,236.0,129.851,28.2619,26.91,249.899,17.9836,19.4212,798.7371,0.2716,0.1098,0.9297,5753.0,75.8485,1.0,35.0,29.0,28.0,46.0,139.0,1
image_615,158.0818,23.4811,105.0,249.0,148.0095,24.7538,89.0,239.0,133.3885,25.3706,73.0,227.0,149.3543,24.3927,91.96,240.622,16.7605,16.8321,595.0032,0.3522,0.1083,0.9924,1784.0,42.2374,1.0,32.0,33.25,33.0,40.0,158.0,1
image_611,141.4196,51.5559,0.0,247.0,135.1546,49.943,0.0,255.0,123.596,47.6422,0.0,255.0,135.7102,50.0821,0.0,250.978,21.0174,27.9304,2508.2131,0.3218,0.091,0.9952,1604.0,40.05,1.0,45.0,44.25,45.0,33.0,141.0,1
image_610,117.2743,30.5026,50.0,239.0,110.2669,27.9913,52.0,235.0,98.4701,25.8513,44.0,224.0,111.0173,28.3922,51.017,234.942,16.5508,18.9832,806.1188,0.2019,0.1043,0.9916,2825.0,53.1507,1.0,36.0,33.0,31.0,41.0,117.0,1
image_607,200.3333,6.105,188.0,222.0,209.8033,4.1521,201.0,222.0,213.3279,5.8638,201.0,227.0,207.3736,4.316,198.025,221.06,2.2819,2.4914,18.6276,0.6616,0.3424,0.7631,183.0,13.5277,1.0,8.5,5.0,7.0,16.0,213.0,1
image_606,198.735,35.5626,107.0,255.0,216.4117,17.6779,93.0,255.0,223.891,17.0934,79.0,255.0,211.979,20.6,98.281,255.0,9.8832,10.807,424.3588,0.6976,0.1512,0.7622,2147.0,46.3357,1.0,39.5,20.0,24.0,29.0,223.0,1
image_605,209.2832,30.7748,42.0,235.0,230.4113,29.0561,68.0,252.0,241.1669,30.0849,67.0,255.0,225.3201,29.6464,60.112,246.661,7.7864,19.0031,878.9067,0.7943,0.1567,0.9968,671.0,25.9037,1.0,13.0,11.0,8.0,34.0,241.0,1
image_600,209.4193,21.2385,111.0,248.0,205.264,19.9051,116.0,243.0,198.9348,18.3704,112.0,237.0,205.7849,20.0589,114.049,243.811,10.7524,10.1797,402.3611,0.6574,0.1093,0.991,966.0,31.0805,1.0,29.0,28.0,25.0,13.0,209.0,1
image_598,99.3007,35.7026,0.0,166.0,117.9763,37.7761,14.0,189.0,130.1151,46.5474,9.0,207.0,113.7761,38.0818,9.244,184.175,11.0886,13.7086,1450.221,0.2214,0.0668,0.9972,1520.0,38.9872,1.0,47.0,51.0,63.0,61.0,130.0,1
image_597,154.5829,18.9081,63.0,191.0,164.9626,19.1608,74.0,201.0,171.492,18.9518,78.0,208.0,162.6034,18.9915,71.167,198.238,11.9958,11.1822,360.6763,0.4122,0.1265,0.9871,187.0,13.6748,1.0,24.0,24.5,24.0,25.0,171.0,1
image_596,78.1739,51.6589,0.0,240.0,127.0742,27.4111,28.0,195.0,168.913,26.943,62.0,235.0,117.2227,30.5316,23.504,207.885,10.7659,11.9523,932.1776,0.2257,0.0759,0.6968,1495.0,38.6652,1.0,42.0,45.0,30.0,137.0,168.0,1
image_593,201.2837,6.5612,135.0,208.0,210.8751,6.6698,140.0,217.0,216.874,6.8225,146.0,224.0,208.6912,6.6012,139.189,215.107,1.0371,1.7023,43.5757,0.6704,0.3818,0.9679,913.0,30.2159,1.0,4.0,3.0,5.0,18.0,216.0,1
image_667,151.0526,43.2331,3.0,245.0,144.417,44.1198,0.0,225.0,129.614,47.6271,0.0,216.0,144.7135,43.9763,0.897,228.096,20.6438,24.3181,1933.914,0.3518,0.0431,0.9818,13889.0,117.8516,1.0,71.0,79.0,86.0,37.0,151.0,1
image_666,114.1076,43.4992,31.0,237.0,108.926,42.3309,26.0,224.0,93.6523,43.9349,0.0,208.0,108.7341,42.6584,26.041,225.721,20.5636,20.5958,1819.7406,0.2098,0.0595,0.9908,6741.0,82.1036,1.0,68.0,63.0,64.0,47.0,114.0,1
image_665,162.7853,35.1229,0.0,254.0,168.9388,40.6649,9.0,255.0,164.2857,45.4903,4.0,255.0,166.5684,38.8527,10.527,254.131,14.9741,19.0529,1509.531,0.4499,0.063,0.9291,9308.0,96.478,1.0,44.0,66.0,81.0,9.0,168.0,1
image_659,151.9262,28.3882,82.0,249.0,139.9754,29.0505,76.0,232.0,126.3726,29.4957,42.0,214.0,141.998,28.8291,73.918,235.031,17.0864,19.7194,831.1186,0.3229,0.1158,0.9934,569.0,23.8537,1.0,32.0,32.0,30.0,42.0,151.0,1
image_657,118.0482,37.976,28.0,193.0,113.4605,35.6297,30.0,184.0,97.2061,38.0073,9.0,169.0,112.9793,36.5592,27.008,184.981,26.8249,25.5866,1336.5722,0.2169,0.0528,0.9961,228.0,15.0997,1.0,68.25,63.25,70.0,45.0,118.0,1
image_656,127.0092,38.4228,3.0,255.0,117.2775,36.0138,2.0,248.0,103.0,36.9927,0.0,232.0,118.5596,36.2517,2.071,247.471,18.8779,19.4497,1314.1839,0.2364,0.1069,0.945,14173.0,119.0504,1.0,38.0,34.0,40.0,48.0,127.0,1
image_655,131.8975,35.042,14.0,255.0,115.0322,31.3697,0.0,254.0,96.7938,32.8048,0.0,243.0,117.9958,31.7068,4.186,253.045,19.0925,19.5854,1005.3239,0.2296,0.1074,0.8965,22645.0,150.4826,1.0,42.0,33.0,37.0,68.0,131.0,1
image_654,130.9496,25.582,40.0,225.0,124.4318,24.7153,36.0,210.0,108.5951,25.6737,19.0,193.0,124.5753,24.9604,37.329,212.319,17.9815,17.37,623.024,0.2482,0.1273,0.9901,3749.0,61.2291,1.0,27.0,26.0,28.0,43.0,130.0,1
image_651,123.0504,35.8758,42.0,242.0,116.741,33.7848,39.0,234.0,101.0688,35.2228,17.0,223.0,116.8408,34.1513,38.97,235.138,19.8141,17.8004,1166.3131,0.2279,0.0833,0.9626,1687.0,41.0731,1.0,56.0,50.0,49.0,46.0,123.0,1
image_650,153.3164,39.0082,8.0,255.0,129.7591,31.1754,15.0,230.0,108.6686,33.6419,0.0,217.0,134.3984,32.6141,11.197,229.187,19.4338,17.4364,1063.6788,0.2941,0.092,0.8717,5259.0,72.519,1.0,49.0,39.0,45.0,75.0,153.0,1
image_649,122.8695,54.3982,39.0,255.0,120.8817,51.3626,41.0,255.0,113.339,49.6297,25.0,240.0,120.6162,51.9478,41.69,253.29,16.9551,20.1888,2698.5787,0.2652,0.0543,0.9968,2773.0,52.6593,1.0,76.0,68.0,69.0,19.0,122.0,1
image_643,138.7015,40.8967,17.0,254.0,132.996,40.5935,10.0,236.0,122.6852,40.4208,2.0,230.0,133.5265,40.4925,11.181,239.883,15.8456,18.3465,1639.6421,0.2994,0.0937,0.9881,9881.0,99.4032,1.0,38.0,37.0,37.0,30.0,138.0,1
image_642,132.2503,41.4153,18.0,255.0,123.8725,39.8721,4.0,255.0,109.4579,40.4617,0.0,248.0,124.7342,40.0807,7.73,254.202,20.3506,22.2618,1606.4608,0.264,0.0935,0.9773,24907.0,157.8195,1.0,43.0,42.0,46.0,44.0,132.0,1
image_641,144.5734,36.3046,15.0,255.0,137.9135,35.9986,13.0,255.0,126.5189,37.2374,1.0,250.0,138.6058,35.9634,13.327,254.088,16.3241,18.107,1293.3667,0.3153,0.0846,0.9763,31953.0,178.754,1.0,43.0,45.0,48.0,32.0,144.0,1
image_640,142.4285,30.6461,22.0,255.0,138.5678,30.7355,22.0,255.0,126.0645,32.1195,0.0,244.0,138.2968,30.728,19.492,253.746,16.1667,18.1443,944.2081,0.3087,0.1125,0.9863,2929.0,54.1202,1.0,35.0,33.0,33.0,29.0,142.0,1
image_631,137.2706,36.1206,17.0,255.0,132.1046,35.965,12.0,254.0,122.4565,37.4435,0.0,251.0,132.5493,36.0688,12.811,253.615,16.6843,18.9052,1300.959,0.2902,0.0873,0.9928,20508.0,143.2061,1.0,39.0,38.0,40.0,28.0,137.0,1
image_694,114.2458,37.8426,16.0,250.0,109.8207,36.0717,15.0,241.0,98.3131,35.7182,0.0,227.0,109.8319,36.3436,13.589,241.198,16.0704,18.6699,1320.8549,0.2058,0.102,0.9847,6419.0,80.1187,1.0,43.0,38.0,40.0,36.0,114.0,1
image_693,123.65,29.5228,14.0,255.0,117.2504,28.5968,4.0,254.0,104.1057,28.387,0.0,236.0,117.6654,28.7362,6.534,252.247,12.9463,15.1061,825.771,0.2256,0.1278,0.9932,11847.0,108.8439,1.0,26.0,25.0,27.0,39.0,123.0,1
image_692,130.5455,38.9387,7.0,255.0,120.9609,38.9687,8.0,255.0,103.4298,40.0372,0.0,248.0,121.8282,38.8213,7.131,253.974,17.7462,19.5951,1507.0929,0.2514,0.0984,0.9867,17942.0,133.9478,1.0,39.0,40.0,43.0,53.0,130.0,1
image_687,131.0595,33.6444,40.0,198.0,125.0694,31.4174,42.0,190.0,108.8414,30.0908,29.0,178.0,125.0104,31.8748,39.92,190.426,15.3957,16.2497,1016.0005,0.256,0.1135,0.9953,706.0,26.5707,1.0,34.0,32.0,31.75,45.0,131.0,1
image_686,132.4991,31.1562,24.0,247.0,123.9097,32.1453,33.0,242.0,108.627,32.3916,5.0,228.0,124.7357,31.6433,32.247,240.959,14.5551,17.3271,1001.2973,0.2547,0.1074,0.9835,5348.0,73.13,1.0,30.0,29.0,30.0,46.0,132.0,1
image_685,115.555,46.2928,22.0,255.0,109.2613,40.0066,19.0,250.0,93.2996,36.3038,0.0,237.0,109.3235,40.5059,19.426,250.013,18.1274,19.0059,1640.7257,0.209,0.0872,0.9694,5982.0,77.3434,1.0,54.0,46.0,48.0,49.0,115.0,1
image_684,140.9778,38.2194,36.0,254.0,134.4135,39.1783,24.0,242.0,122.7214,43.8989,7.0,251.0,135.0434,38.1534,25.992,243.992,14.7301,17.4652,1455.6857,0.3028,0.0823,0.8715,7617.0,87.2754,1.0,50.0,47.0,50.0,33.0,140.0,1
image_683,115.0268,37.5925,18.0,255.0,109.3325,34.9646,22.0,251.0,95.0779,34.4001,0.0,243.0,109.41,35.5008,18.296,251.17,13.7508,16.6332,1260.3039,0.2035,0.1099,0.988,6467.0,80.4177,1.0,33.0,33.0,32.0,44.0,115.0,1
image_682,177.1836,24.1176,80.0,253.0,185.7035,26.48,71.0,255.0,169.4733,23.7706,58.0,245.0,181.3058,24.943,73.704,252.365,13.3609,15.8963,622.1548,0.5151,0.0931,0.9281,2337.0,48.3425,1.0,27.0,33.0,32.0,22.0,185.0,1
image_681,182.7054,18.2795,71.0,236.0,210.6816,13.4641,128.0,250.0,218.6099,11.8203,136.0,250.0,203.2206,14.3305,116.024,245.814,8.0771,8.3444,205.3621,0.6383,0.17,0.9231,4253.0,65.215,1.0,20.0,15.0,13.0,42.0,218.0,1
image_675,133.2811,37.3059,39.0,255.0,126.4567,36.5865,36.0,254.0,115.2217,37.306,0.0,241.0,127.2164,36.6976,35.97,251.432,16.122,18.8805,1346.7153,0.2696,0.079,0.9847,4276.0,65.3911,1.0,45.0,40.0,40.0,35.0,133.0,1
image_674,144.6361,36.7318,33.0,255.0,126.9791,33.6013,12.0,250.0,109.4674,34.256,0.0,228.0,130.2622,33.6006,18.705,248.759,17.5209,17.434,1128.9973,0.2783,0.0959,0.8927,20192.0,142.0986,1.0,46.0,36.0,38.0,62.0,144.0,1
image_673,130.0066,34.2124,17.0,255.0,118.6361,32.1128,12.0,244.0,103.5064,31.987,0.0,232.0,120.3111,32.4767,13.024,245.921,16.4602,17.4531,1054.7336,0.2388,0.1085,0.9757,15970.0,126.3725,1.0,32.0,33.0,35.0,53.0,130.0,1
image_672,157.7194,36.5377,20.0,255.0,149.2813,35.7906,15.0,251.0,135.0329,41.1658,0.0,239.0,150.18,36.3146,14.785,250.828,21.2733,21.7681,1318.7469,0.3671,0.0906,0.9731,4077.0,63.8514,1.0,44.0,44.0,53.0,36.0,157.0,1
image_670,120.8982,36.8138,35.0,254.0,113.5671,36.8387,29.0,234.0,101.6362,35.741,17.0,228.0,114.399,36.2861,30.622,236.605,21.0849,20.8781,1316.6814,0.2215,0.0796,0.9765,3546.0,59.5483,1.0,41.0,46.0,52.0,40.0,120.0,1
image_668,169.5453,44.3271,24.0,255.0,159.5934,46.027,15.0,255.0,143.8961,47.9874,0.0,241.0,160.7795,45.3492,15.981,253.176,18.6855,23.1753,2056.5519,0.4292,0.0454,0.9706,8841.0,94.0266,1.0,70.0,80.0,83.0,39.0,169.0,1
image_720,133.793,32.628,23.0,225.0,122.5688,28.3656,18.0,217.0,103.9974,29.4346,3.0,209.0,123.8077,29.3857,18.811,216.088,14.7576,17.0842,863.5199,0.249,0.099,0.9686,3024.0,54.9909,1.0,40.25,32.0,31.0,58.0,133.0,1
image_719,213.5069,35.2317,69.0,255.0,212.4344,36.355,60.0,255.0,201.69,36.2892,51.0,245.0,211.5302,35.9414,61.665,253.262,12.5479,13.1715,1291.7845,0.708,0.0866,0.9957,1158.0,34.0294,1.0,24.0,26.0,33.0,14.0,213.0,1
image_714,152.2401,36.296,52.0,254.0,147.7991,36.6777,49.0,247.0,136.7447,37.1673,33.0,237.0,147.8668,36.5365,48.97,247.953,20.8116,19.5184,1334.9181,0.3568,0.069,0.9941,1837.0,42.8602,1.0,51.0,54.0,57.0,27.0,152.0,1
image_713,151.9878,28.3493,23.0,236.0,147.2546,28.0404,20.0,238.0,137.8628,28.7525,13.0,233.0,147.5992,28.0913,20.099,236.832,13.2869,14.9009,789.1214,0.3472,0.0854,0.9837,2537.0,50.3686,1.0,40.0,39.0,40.0,24.0,151.0,1
image_712,117.7158,46.2291,36.0,223.0,87.8145,33.0096,34.0,173.0,66.9425,26.7003,16.0,149.0,94.3756,35.8054,35.088,184.018,18.5031,19.9763,1282.0243,0.1567,0.0584,0.96,922.0,30.3645,1.0,82.75,57.0,40.0,111.0,117.0,1
image_711,134.5795,40.8008,27.0,246.0,128.768,42.2763,20.0,243.0,117.2257,43.6989,2.0,234.0,129.1898,41.9289,20.041,242.871,20.9465,20.842,1758.0362,0.2837,0.0836,0.9967,2716.0,52.1153,1.0,46.25,46.0,47.25,32.0,134.0,1
image_710,135.547,36.1895,26.0,255.0,128.8705,37.8816,19.0,248.0,115.6537,39.5058,10.0,227.0,129.36,37.4773,20.181,247.699,13.8446,17.2908,1404.5443,0.2789,0.0872,0.9941,7095.0,84.2318,1.0,45.0,48.0,52.0,38.0,135.0,1
image_709,138.8584,39.6975,31.0,255.0,132.9666,40.8624,25.0,253.0,120.0113,43.8189,0.0,252.0,133.2513,40.6508,25.705,252.288,20.0737,22.0628,1652.4883,0.2985,0.0695,0.9886,8948.0,94.5939,1.0,53.0,59.0,67.0,33.0,138.0,1
image_708,137.3833,30.7507,87.0,255.0,126.7941,31.1707,72.0,248.0,110.5667,29.6936,53.0,226.0,128.1103,30.8203,74.319,247.585,14.4217,18.1145,949.8892,0.267,0.0895,0.9954,1821.0,42.6732,1.0,24.0,24.0,24.0,50.0,137.0,1
image_706,121.5213,30.5737,23.0,255.0,118.8471,27.5194,16.0,249.0,115.675,37.4359,0.0,243.0,119.2851,27.2087,16.269,248.286,16.2061,18.4145,740.3148,0.2302,0.1271,0.8229,7450.0,86.3134,1.0,30.0,26.0,40.0,13.0,121.0,1
image_705,130.9934,35.4019,27.0,255.0,122.9737,33.6195,18.0,248.0,108.3657,35.7364,1.0,238.0,123.7063,33.4744,18.753,248.725,17.694,19.9679,1120.5326,0.2526,0.0968,0.9558,9329.0,96.5867,1.0,39.0,40.0,38.0,43.0,130.0,1
image_704,135.0057,41.0389,19.0,255.0,125.8494,38.9362,19.0,240.0,111.0468,40.8582,0.0,238.0,126.8996,38.2038,18.843,242.762,14.2543,16.1526,1459.5285,0.2701,0.0868,0.9322,9973.0,99.8649,1.0,46.0,48.0,49.0,45.0,135.0,1
image_703,140.2228,34.1279,29.0,255.0,131.6786,35.6397,21.0,255.0,112.8526,36.4277,8.0,242.0,132.0871,34.7195,21.91,253.29,12.9027,15.9457,1205.4446,0.2869,0.0839,0.9622,14560.0,120.6648,1.0,36.0,39.0,41.0,51.0,140.0,1
image_702,138.3479,42.4946,24.0,255.0,135.3641,41.2963,22.0,255.0,120.4728,43.8926,9.0,240.0,134.5587,41.1604,21.116,253.176,18.9664,18.8646,1694.1797,0.3045,0.082,0.9774,1601.0,40.0125,1.0,47.0,48.0,66.0,33.0,138.0,1
image_700,151.0188,25.7143,84.0,225.0,148.059,25.6249,81.0,218.0,138.9812,25.7344,72.0,208.0,147.9091,25.6383,80.871,218.953,14.0465,14.6563,657.3215,0.3466,0.0936,0.9962,373.0,19.3132,1.0,38.0,40.0,38.0,22.0,151.0,1
image_695,171.2586,34.1001,38.0,255.0,151.1581,39.1507,29.0,253.0,132.3387,45.1279,14.0,238.0,155.0228,37.027,29.981,251.546,16.0703,17.2527,1370.9992,0.3907,0.0857,0.8657,3345.0,57.836,1.0,36.0,53.0,71.0,58.0,171.0,1
image_742,137.2922,38.8315,65.0,255.0,132.4095,39.1239,66.0,254.0,111.7237,46.1503,26.0,244.0,131.5113,39.7277,61.141,252.931,14.155,18.187,1578.2913,0.2903,0.108,0.9936,503.0,22.4277,1.0,39.5,35.0,42.0,48.0,137.0,1
image_741,122.4528,33.1574,13.0,255.0,117.2185,31.1486,14.0,251.0,105.8755,30.9029,5.0,236.0,117.4904,31.4813,13.729,250.187,14.8146,18.0007,991.0699,0.2275,0.1086,0.9846,10363.0,101.7988,1.0,35.0,33.0,30.0,36.0,122.0,1
image_740,114.014,29.3942,30.0,255.0,107.3399,28.5951,28.0,254.0,92.0505,29.4603,0.0,241.0,107.5925,28.6665,28.426,252.817,14.357,15.8664,821.7696,0.1907,0.1161,0.9744,10048.0,100.2397,1.0,31.0,29.0,30.0,49.0,114.0,1
image_739,121.5928,38.7578,18.0,255.0,117.3372,39.8373,19.0,254.0,107.0589,42.6862,0.0,255.0,117.4379,39.3798,17.122,253.273,15.6637,18.6248,1550.7659,0.2359,0.0922,0.9687,13441.0,115.9353,1.0,43.0,42.0,46.0,30.0,121.0,1
image_738,149.5471,32.3654,34.0,255.0,141.5307,34.6587,22.0,252.0,128.0169,36.4264,4.0,237.0,142.387,33.8978,23.992,251.073,15.0446,17.2546,1149.0575,0.3295,0.0854,0.9723,12907.0,113.609,1.0,42.0,46.0,46.0,36.0,149.0,1
image_737,149.1931,39.2417,27.0,255.0,140.9568,38.8225,18.0,249.0,126.8959,34.1985,0.0,242.0,141.8165,38.1346,18.753,249.996,15.4923,18.5398,1454.2441,0.3317,0.0711,0.9915,11221.0,105.9292,1.0,46.0,49.0,47.0,39.0,149.0,1
image_736,136.545,29.2796,48.0,246.0,128.7997,28.5675,37.0,236.0,115.1873,28.184,19.0,218.0,129.5637,28.5172,39.605,236.14,15.1291,17.1086,813.2298,0.2707,0.1007,0.9881,3070.0,55.4076,1.0,28.0,27.0,31.0,39.0,136.0,1
image_731,149.8109,23.5853,42.0,255.0,142.4698,23.0434,32.0,255.0,129.7783,23.9891,7.0,244.0,143.2179,23.0154,32.14,253.746,14.1671,14.7407,529.7073,0.3236,0.0994,0.9603,1967.0,44.3509,1.0,33.0,31.0,32.0,34.0,149.0,1
image_730,132.4406,52.5065,25.0,255.0,119.0764,47.1441,15.0,248.0,94.8577,41.2418,0.0,234.0,120.3114,47.307,16.622,248.497,21.0212,23.8376,2237.956,0.257,0.0738,0.9784,7514.0,86.6833,1.0,71.0,59.0,50.0,73.0,132.0,1
image_729,170.6973,47.891,28.0,255.0,158.6888,46.3565,20.0,246.0,128.4324,45.5273,0.0,241.0,158.8301,44.9776,20.71,245.465,16.7408,20.6778,2022.9812,0.4191,0.0451,0.9582,5296.0,72.7736,1.0,89.0,85.0,60.0,63.0,170.0,1
image_728,123.2945,27.0035,32.0,255.0,115.1778,26.1955,22.0,249.0,101.5199,26.3203,12.0,239.0,116.0477,26.1974,23.964,249.654,14.4549,16.5735,686.3024,0.2177,0.1223,0.9816,6653.0,81.5659,1.0,27.0,27.0,28.0,46.0,123.0,1
